Trans. Date,Post Date,Description,Amount,Category
09/14/2015,09/14/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",5.64,"Gasoline"
09/14/2015,09/14/2015,"DS SERVICES NORTHWOOD IA",17.16,"Supermarkets"
09/14/2015,09/14/2015,"FALLGATTER'S MKTS, NORTHWOOD IA",21.43,"Supermarkets"
09/15/2015,09/15/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",9.49,"Gasoline"
09/15/2015,09/15/2015,"FALLGATTER'S MKTS, NORTHWOOD IA",33.86,"Supermarkets"
09/17/2015,09/17/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",5.64,"Gasoline"
09/18/2015,09/18/2015,"SHADE TREE LIQUORS NORTHWOOD IA",21.29,"Merchandise"
09/19/2015,09/19/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",9.49,"Gasoline"
09/19/2015,09/19/2015,"DS SERVICES NORTHWOOD IA",17.16,"Supermarkets"
09/19/2015,09/19/2015,"FALLGATTER'S MKTS, NORTHWOOD IA",23.40,"Supermarkets"
09/20/2015,09/20/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",9.05,"Gasoline"
09/20/2015,09/20/2015,"DS SERVICES NORTHWOOD IA",17.16,"Supermarkets"
09/20/2015,09/20/2015,"FALLGATTER'S MKTS, NORTHWOOD IA",5.16,"Supermarkets"
09/21/2015,09/21/2015,"DS SERVICES NORTHWOOD IA",5.21,"Supermarkets"
09/22/2015,09/22/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",7.50,"Gasoline"
09/22/2015,09/22/2015,"CULLIGAN MASON CITY MASON CITY IA",48.69,"Services"
09/23/2015,09/23/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",5.64,"Gasoline"
09/23/2015,09/23/2015,"FALLGATTER'S MKTS, NORTHWOOD IA",2.00,"Supermarkets"
09/24/2015,09/24/2015,"HLU*HULU 15643209-U HULU.COM/BILLCAHLU*HULU 15643209-U",7.99,"Services"
09/24/2015,09/27/2015,"DS SERVICES NORTHWOOD IA",17.16,"Supermarkets"
09/25/2015,09/27/2015,"DS SERVICES NORTHWOOD IA",17.16,"Supermarkets"
09/25/2015,09/27/2015,"FALLGATTER'S MKTS, NORTHWOOD IA",24.32,"Supermarkets"
09/25/2015,09/27/2015,"NORTH STAR XPRESS NORHTWOOD IA",48.00,"Gasoline"
09/26/2015,09/26/2015,"INTEREST CHARGE ON PURCHASES",115.98,"Interest"
09/27/2015,09/27/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",7.50,"Gasoline"
09/27/2015,09/27/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",9.95,"Gasoline"
09/27/2015,09/27/2015,"MYFICO COM 8003194433 CA",14.95,"Merchandise"
09/28/2015,09/28/2015,"DS SERVICES NORTHWOOD IA",17.16,"Supermarkets"
09/29/2015,09/29/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",2.83,"Gasoline"
09/30/2015,09/30/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",12.95,"Gasoline"
09/30/2015,09/30/2015,"FALLGATTER'S MKTS, NORTHWOOD IA",34.27,"Supermarkets"
09/30/2015,09/30/2015,"PILOT NORTHFIELD MN",7.29,"Gasoline"
10/01/2015,10/01/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",9.05,"Gasoline"
10/01/2015,10/01/2015,"D S LIQUORS NORTHWOOD IA",19.34,"Merchandise"
10/01/2015,10/01/2015,"NORTH STAR XPRESS NORHTWOOD IA",9.18,"Gasoline"
10/02/2015,10/02/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",7.61,"Gasoline"
10/02/2015,10/02/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",20.61,"Gasoline"
10/03/2015,10/03/2015,"D S LIQUORS NORTHWOOD IA",24.55,"Merchandise"
10/05/2015,10/05/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",9.49,"Gasoline"
10/05/2015,10/05/2015,"D S LIQUORS NORTHWOOD IA",17.16,"Merchandise"
10/05/2015,10/05/2015,"FALLGATTER'S MKTS, NORTHWOOD IA",16.56,"Supermarkets"
10/06/2015,10/06/2015,"SHADE TREE LIQUORS NORTHWOOD IA",19.04,"Merchandise"
10/07/2015,10/07/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",5.64,"Gasoline"
10/07/2015,10/07/2015,"D S LIQUORS NORTHWOOD IA",17.16,"Merchandise"
10/07/2015,10/07/2015,"FALLGATTER'S MKTS, NORTHWOOD IA",6.86,"Supermarkets"
10/08/2015,10/08/2015,"SHADE TREE LIQUORS NORTHWOOD IA",31.96,"Merchandise"
10/09/2015,10/09/2015,"CULLIGAN MASON CITY MASON CITY IA",48.69,"Services"
10/11/2015,10/11/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",5.64,"Gasoline"
10/11/2015,10/11/2015,"D S LIQUORS NORTHWOOD IA",17.16,"Merchandise"
10/12/2015,10/12/2015,"D S LIQUORS NORTHWOOD IA",19.77,"Merchandise"
10/12/2015,10/12/2015,"MCDONALD'S F22234 ALBERT LEA MN",10.91,"Restaurants"
10/13/2015,10/13/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",10.98,"Gasoline"
10/13/2015,10/13/2015,"D S LIQUORS NORTHWOOD IA",17.16,"Merchandise"
10/13/2015,10/13/2015,"FALLGATTER'S MKTS, NORTHWOOD IA",5.78,"Supermarkets"
10/14/2015,10/14/2015,"INTERNET PAYMENT - THANK YOU",-216.00,"Payments and Credits"
10/15/2015,10/15/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",5.64,"Gasoline"
10/15/2015,10/15/2015,"TRAIL'S TA TRAVEL CENT ALBERT LEA MN",6.31,"Gasoline"
10/16/2015,10/16/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",0.33,"Gasoline"
10/16/2015,10/16/2015,"NORTH STAR XPRESS NORHTWOOD IA",4.37,"Gasoline"
10/16/2015,10/16/2015,"NORTH STAR XPRESS NORHTWOOD IA",4.55,"Gasoline"
10/16/2015,10/16/2015,"NORTH STAR XPRESS NORHTWOOD IA",20.29,"Gasoline"
10/16/2015,10/16/2015,"REWARD STATEMENT CREDIT",-12.02,"Awards and Rebate Credits"
10/17/2015,10/17/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",2.50,"Gasoline"
10/17/2015,10/17/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",4.90,"Gasoline"
10/18/2015,10/18/2015,"FALLGATTER'S MKTS, NORTHWOOD IA",3.34,"Supermarkets"
10/18/2015,10/18/2015,"NORTH STAR XPRESS NORHTWOOD IA",15.00,"Gasoline"
10/18/2015,10/18/2015,"PILOT NORTHFIELD MN",6.44,"Gasoline"
10/19/2015,10/19/2015,"AMERICINN MOTEL ROGERS MN01832R",102.97,"Travel/ Entertainment"
10/19/2015,10/19/2015,"FALLGATTER'S MKTS, NORTHWOOD IA",8.01,"Supermarkets"
10/19/2015,10/19/2015,"KOHL'S #704 ROGERS MN",38.25,"Department Stores"
10/19/2015,10/19/2015,"NORTH STAR XPRESS NORHTWOOD IA",6.72,"Gasoline"
10/19/2015,10/19/2015,"PILOT NORTHFIELD MN",6.44,"Gasoline"
10/19/2015,10/19/2015,"TARGET ROGERS MN",32.77,"Supermarkets"
10/20/2015,10/20/2015,"NORTH STAR XPRESS NORHTWOOD IA",7.96,"Gasoline"
10/20/2015,10/20/2015,"NORTH STAR XPRESS NORHTWOOD IA",9.49,"Gasoline"
10/20/2015,10/20/2015,"WAL-MART SC - #1020 ALBERT LEA MN",31.35,"Merchandise"
10/21/2015,10/21/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",3.93,"Gasoline"
10/21/2015,10/21/2015,"FALLGATTER'S MKTS, NORTHWOOD IA",3.34,"Supermarkets"
10/21/2015,10/21/2015,"NORTH STAR XPRESS NORHTWOOD IA",5.18,"Gasoline"
10/22/2015,10/22/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",5.64,"Gasoline"
10/22/2015,10/22/2015,"D S LIQUORS NORTHWOOD IA",5.21,"Merchandise"
10/22/2015,10/22/2015,"D S LIQUORS NORTHWOOD IA",17.16,"Merchandise"
10/22/2015,10/22/2015,"NORTH STAR XPRESS NORHTWOOD IA",4.91,"Gasoline"
10/22/2015,10/22/2015,"NORTH STAR XPRESS NORHTWOOD IA",9.49,"Gasoline"
10/23/2015,10/23/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",15.56,"Gasoline"
10/23/2015,10/23/2015,"NORTH STAR XPRESS NORHTWOOD IA",7.00,"Gasoline"
10/24/2015,10/24/2015,"D S LIQUORS NORTHWOOD IA",19.77,"Merchandise"
10/24/2015,10/24/2015,"FALLGATTER'S MKTS, NORTHWOOD IA",5.16,"Supermarkets"
10/24/2015,10/24/2015,"HLU*HULU 15643209-U HULU.COM/BILLCAHLU*HULU 15643209-U",7.99,"Services"
10/24/2015,10/24/2015,"NORTH STAR XPRESS NORHTWOOD IA",3.00,"Gasoline"
10/25/2015,10/27/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",9.49,"Gasoline"
10/25/2015,10/27/2015,"D S LIQUORS NORTHWOOD IA",19.77,"Merchandise"
10/25/2015,10/27/2015,"NORTH STAR XPRESS NORHTWOOD IA",39.01,"Gasoline"
10/26/2015,10/26/2015,"INTEREST CHARGE ON PURCHASES",120.41,"Interest"
10/27/2015,10/27/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",19.60,"Gasoline"
10/27/2015,10/27/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",20.90,"Gasoline"
10/27/2015,10/27/2015,"D S LIQUORS NORTHWOOD IA",17.16,"Merchandise"
10/27/2015,10/27/2015,"MYFICO COM 8003194433 CA",14.95,"Merchandise"
10/29/2015,10/29/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",5.64,"Gasoline"
10/30/2015,10/30/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",15.56,"Gasoline"
10/30/2015,10/30/2015,"D S LIQUORS NORTHWOOD IA",17.16,"Merchandise"
10/30/2015,10/30/2015,"NORTH STAR XPRESS NORHTWOOD IA",4.90,"Gasoline"
10/31/2015,10/31/2015,"D S LIQUORS NORTHWOOD IA",5.21,"Merchandise"
10/31/2015,10/31/2015,"NORTH STAR XPRESS NORHTWOOD IA",3.21,"Gasoline"
11/01/2015,11/01/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",9.05,"Gasoline"
11/01/2015,11/01/2015,"CHIPOTLE 1739 EAGAN MN",16.07,"Restaurants"
11/01/2015,11/01/2015,"NORTH STAR XPRESS NORHTWOOD IA",22.51,"Gasoline"
11/02/2015,11/02/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",6.35,"Gasoline"
11/02/2015,11/02/2015,"SHELL 57445937501 SAINT CLOUD MN",5.86,"Gasoline"
11/03/2015,11/03/2015,"MONTICELLO PIZZA RANCH MONTICELLO MN",13.87,"Restaurants"
11/03/2015,11/03/2015,"PILOT ST. CLOUD MN",4.30,"Gasoline"
11/03/2015,11/03/2015,"SUPERAMERICA 4545 ROGERS MN00373R",7.71,"Gasoline"
11/03/2015,11/03/2015,"TARGET ROGERS MN",58.39,"Supermarkets"
11/04/2015,11/04/2015,"COBORN'S SUPERSTORE COOP ST CLOUD MN",14.83,"Supermarkets"
11/04/2015,11/04/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",6.48,"Gasoline"
11/04/2015,11/04/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",25.03,"Gasoline"
11/04/2015,11/04/2015,"KOHL'S #704 ROGERS MN",19.19,"Department Stores"
11/04/2015,11/04/2015,"TACO BELL 20173 ROGERS MN",6.32,"Restaurants"
11/04/2015,11/04/2015,"TARGET ROGERS MN",3.91,"Supermarkets"
11/05/2015,11/05/2015,"CHIPOTLE 1792 SAINT CLOUD MN",8.13,"Restaurants"
11/05/2015,11/05/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",8.84,"Gasoline"
11/05/2015,11/05/2015,"PILOT ST. CLOUD MN",4.30,"Gasoline"
11/06/2015,11/06/2015,"COBORN'S SUPERSTORE COOP ST CLOUD MN",25.52,"Supermarkets"
11/06/2015,11/06/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",6.96,"Gasoline"
11/06/2015,11/06/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",21.99,"Gasoline"
11/06/2015,11/06/2015,"TACO BELL 20173 ROGERS MN",6.32,"Restaurants"
11/07/2015,11/07/2015,"PILOT NORTHFIELD MN",4.30,"Gasoline"
11/08/2015,11/08/2015,"MCDONALD'S M6200 OF MN MEDFORD MN",10.22,"Restaurants"
11/08/2015,11/08/2015,"NORTH STAR XPRESS NORHTWOOD IA",4.91,"Gasoline"
11/08/2015,11/08/2015,"NORTH STAR XPRESS NORHTWOOD IA",7.36,"Gasoline"
11/08/2015,11/08/2015,"PILOT ST. CLOUD MN",7.29,"Gasoline"
11/08/2015,11/08/2015,"PILOT ST. CLOUD MN",17.99,"Gasoline"
11/08/2015,11/08/2015,"REWARD STATEMENT CREDIT",-11.23,"Awards and Rebate Credits"
11/09/2015,11/09/2015,"COBORN'S SUPERSTORE COOP ST CLOUD MN",7.65,"Supermarkets"
11/09/2015,11/09/2015,"SUBWAY 00346114255 ST CLOUD MN",6.50,"Restaurants"
11/09/2015,11/09/2015,"TACO BELL 20173 ROGERS MN",8.24,"Restaurants"
11/10/2015,11/10/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",4.29,"Gasoline"
11/10/2015,11/10/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",7.78,"Gasoline"
11/10/2015,11/10/2015,"TACO BELL 20173 ROGERS MN",5.87,"Restaurants"
11/11/2015,11/11/2015,"COBORN'S SUPERSTORE COOP ST CLOUD MN",27.57,"Supermarkets"
11/11/2015,11/11/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",4.29,"Gasoline"
11/11/2015,11/11/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",4.29,"Gasoline"
11/11/2015,11/11/2015,"TACO BELL 20173 ROGERS MN",6.32,"Restaurants"
11/12/2015,11/12/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",3.31,"Gasoline"
11/12/2015,11/12/2015,"MCDONALD'S M4787 OF MN ST CLOUD MN",3.01,"Restaurants"
11/12/2015,11/12/2015,"PILOT ST. CLOUD MN",22.96,"Gasoline"
11/12/2015,11/12/2015,"TACO BELL 20173 ROGERS MN",3.84,"Restaurants"
11/13/2015,11/13/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",6.98,"Gasoline"
11/13/2015,11/13/2015,"KWIK TRIP 00006817691 SAINT MICHAELMN",2.77,"Gasoline"
11/13/2015,11/13/2015,"PILOT ST. CLOUD MN",4.30,"Gasoline"
11/13/2015,11/13/2015,"PILOT ST. CLOUD MN",8.59,"Gasoline"
11/13/2015,11/13/2015,"TACO BELL 20173 ROGERS MN",3.84,"Restaurants"
11/14/2015,11/14/2015,"FALLGATTER'S MKTS, NORTHWOOD IA",3.96,"Supermarkets"
11/14/2015,11/14/2015,"NORTH STAR XPRESS NORHTWOOD IA",4.37,"Gasoline"
11/14/2015,11/14/2015,"NORTH STAR XPRESS NORHTWOOD IA",7.36,"Gasoline"
11/14/2015,11/14/2015,"NORTH STAR XPRESS NORHTWOOD IA",10.74,"Gasoline"
11/14/2015,11/14/2015,"NORTH STAR XPRESS NORHTWOOD IA",24.50,"Gasoline"
11/15/2015,11/15/2015,"BEST BUY 00000083295 BURNSVILLE MN",234.22,"Merchandise"
11/15/2015,11/15/2015,"COBORN'S SUPERSTORE COOP ST CLOUD MN",20.37,"Supermarkets"
11/15/2015,11/15/2015,"NORTH STAR XPRESS NORHTWOOD IA",3.28,"Gasoline"
11/15/2015,11/15/2015,"NORTH STAR XPRESS NORHTWOOD IA",4.47,"Gasoline"
11/15/2015,11/15/2015,"TACO BELL 20173 ROGERS MN",3.84,"Restaurants"
11/15/2015,11/15/2015,"WAL-MART SC - #1020 ALBERT LEA MN",11.17,"Merchandise"
11/16/2015,11/16/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",4.29,"Gasoline"
11/16/2015,11/16/2015,"MCDONALD'S M4787 OF MN ST CLOUD MN",1.51,"Restaurants"
11/16/2015,11/16/2015,"PILOT ST. CLOUD MN",4.30,"Gasoline"
11/16/2015,11/16/2015,"TACO BELL 20173 ROGERS MN",5.44,"Restaurants"
11/17/2015,11/17/2015,"COBORN'S SUPERSTORE COOP ST CLOUD MN",28.36,"Supermarkets"
11/17/2015,11/17/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",5.68,"Gasoline"
11/17/2015,11/17/2015,"LITTLE DUKES COOPER ST CLOUD MN",15.03,"Gasoline"
11/17/2015,11/17/2015,"TACO BELL 20173 ROGERS MN",3.84,"Restaurants"
11/18/2015,11/18/2015,"BP#8453540NORTH STAR XPR NORHTWOOD IA",13.10,"Gasoline"
11/18/2015,11/18/2015,"BP#8453540NORTH STAR XPR NORHTWOOD IA",27.44,"Gasoline"
11/18/2015,11/18/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",5.34,"Gasoline"
11/18/2015,11/18/2015,"INTERNET PAYMENT - THANK YOU",-800.00,"Payments and Credits"
11/18/2015,11/18/2015,"MCDONALD'S M4787 OF MN ST CLOUD MN",5.06,"Restaurants"
11/18/2015,11/18/2015,"MCDONALD'S M6200 OF MN MEDFORD MN",7.00,"Restaurants"
11/19/2015,11/19/2015,"121 FULFILLMENT 763-4288123 MN",55.00,"Warehouse Clubs"
11/19/2015,11/19/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",6.96,"Gasoline"
11/19/2015,11/19/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",6.98,"Gasoline"
11/19/2015,11/19/2015,"TACO BELL 20173 ROGERS MN",3.84,"Restaurants"
11/20/2015,11/20/2015,"COBORN'S SUPERSTORE COOP ST CLOUD MN",24.59,"Supermarkets"
11/20/2015,11/20/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",2.67,"Gasoline"
11/20/2015,11/20/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",6.98,"Gasoline"
11/20/2015,11/20/2015,"LITTLE DUKES COOPER ST CLOUD MN",16.31,"Gasoline"
11/20/2015,11/20/2015,"MCDONALD'S M4787 OF MN ST CLOUD MN",5.06,"Restaurants"
11/20/2015,11/20/2015,"WMV*MATCH.COM 800-326-5161 TX522731645",119.94,"Merchandise"
11/21/2015,11/21/2015,"BP#8453540NORTH STAR XPR NORHTWOOD IA",2.18,"Gasoline"
11/21/2015,11/21/2015,"BP#8453540NORTH STAR XPR NORHTWOOD IA",7.36,"Gasoline"
11/21/2015,11/21/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",9.05,"Gasoline"
11/21/2015,11/21/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",10.45,"Gasoline"
11/21/2015,11/21/2015,"CULLIGAN MASON CITY MASON CITY IA",71.64,"Services"
11/22/2015,11/22/2015,"D S LIQUORS NORTHWOOD IA",9.67,"Merchandise"
11/23/2015,11/23/2015,"COBORN'S SUPERSTORE COOP ST CLOUD MN",24.59,"Supermarkets"
11/23/2015,11/23/2015,"HOLIDAY STNSTORE 3552 LAKEVILLE MN",5.27,"Gasoline"
11/23/2015,11/23/2015,"SUBWAY 00124305255 LAKEVILLE MN",6.05,"Restaurants"
11/23/2015,11/23/2015,"TRAIL'S TA TRAVEL CENT ALBERT LEA MN",26.85,"Gasoline"
11/24/2015,11/24/2015,"HLU*HULU 15643209-U HULU.COM/BILLCAHLU*HULU 15643209-U",7.99,"Services"
11/24/2015,11/24/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",9.65,"Gasoline"
11/24/2015,11/24/2015,"TACO BELL 20173 ROGERS MN",8.24,"Restaurants"
11/25/2015,11/25/2015,"LIQUOR PIG SAINT CLOUD MN",24.72,"Merchandise"
11/25/2015,11/27/2015,"KWIK TRIP 00006817691 SAINT MICHAELMN",20.10,"Gasoline"
11/25/2015,11/27/2015,"PILOT ST. CLOUD MN",4.30,"Gasoline"
11/25/2015,11/27/2015,"TACO BELL 20173 ROGERS MN",8.24,"Restaurants"
11/26/2015,11/26/2015,"INTEREST CHARGE ON PURCHASES",135.31,"Interest"
11/26/2015,11/27/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",5.64,"Gasoline"
11/26/2015,11/27/2015,"CASEYS GEN STORE 1876 MANLY IA",9.05,"Gasoline"
11/26/2015,11/27/2015,"MCDONALD'S M4787 OF MN ST CLOUD MN",7.01,"Restaurants"
11/26/2015,11/27/2015,"PILOT ST. CLOUD MN",4.30,"Gasoline"
11/27/2015,11/27/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",8.09,"Gasoline"
11/27/2015,11/27/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",13.48,"Gasoline"
11/27/2015,11/27/2015,"MYFICO COM 8003194433 CA",14.95,"Merchandise"
11/28/2015,11/28/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",4.38,"Gasoline"
11/28/2015,11/28/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",8.80,"Gasoline"
11/28/2015,11/28/2015,"D S LIQUORS NORTHWOOD IA",17.16,"Merchandise"
11/28/2015,11/28/2015,"FALLGATTER'S MKTS, NORTHWOOD IA",9.73,"Supermarkets"
11/29/2015,11/29/2015,"FALLGATTER'S MKTS, NORTHWOOD IA",5.16,"Supermarkets"
11/30/2015,11/30/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",2.83,"Gasoline"
11/30/2015,11/30/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",19.91,"Gasoline"
11/30/2015,11/30/2015,"LIQUOR PIG SAINT CLOUD MN",15.32,"Merchandise"
11/30/2015,11/30/2015,"MONTICELLO PIZZA RANCH MONTICELLO MN",16.54,"Restaurants"
11/30/2015,11/30/2015,"TACO BELL 20173 ROGERS MN",6.32,"Restaurants"
12/01/2015,12/01/2015,"COBORN'S SUPERSTORE COOP ST CLOUD MN",28.22,"Supermarkets"
12/02/2015,12/02/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",4.29,"Gasoline"
12/02/2015,12/02/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",6.98,"Gasoline"
12/02/2015,12/02/2015,"INTERNET PAYMENT - THANK YOU",-1000.00,"Payments and Credits"
12/02/2015,12/02/2015,"REWARD STATEMENT CREDIT",-16.41,"Awards and Rebate Credits"
12/03/2015,12/03/2015,"MCDONALD'S F7056 ROGERS MN",5.87,"Restaurants"
12/03/2015,12/03/2015,"MCDONALD'S M4787 OF MN ST CLOUD MN",6.90,"Restaurants"
12/03/2015,12/03/2015,"PILOT ST. CLOUD MN",30.95,"Gasoline"
12/03/2015,12/03/2015,"TACO BELL 20173 ROGERS MN",6.32,"Restaurants"
12/04/2015,12/04/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",6.43,"Gasoline"
12/04/2015,12/04/2015,"LIQUOR PIG SAINT CLOUD MN",11.47,"Merchandise"
12/04/2015,12/04/2015,"MONTICELLO PIZZA RANCH MONTICELLO MN",16.54,"Restaurants"
12/05/2015,12/05/2015,"BP#8453540NORTH STAR XPR NORHTWOOD IA",5.69,"Gasoline"
12/05/2015,12/05/2015,"BP#8453540NORTH STAR XPR NORHTWOOD IA",24.34,"Gasoline"
12/05/2015,12/05/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",5.64,"Gasoline"
12/05/2015,12/05/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",7.48,"Gasoline"
12/05/2015,12/05/2015,"D S LIQUORS NORTHWOOD IA",17.16,"Merchandise"
12/05/2015,12/05/2015,"FALLGATTER'S MKTS, NORTHWOOD IA",9.02,"Supermarkets"
12/05/2015,12/05/2015,"MCDONALD'S M4787 OF MN ST CLOUD MN",3.66,"Restaurants"
